# radiotrophic_dataset_candidates — public records screened for radiation-phenotype
# evidence for the seven modelled species
#
# NO EXACT TARGET SPECIES HAS A CALIBRATED 3-D RADIATION-EXPOSED BIOMASS
# FIELD. Not one. raw_3d_images is false on EVERY radiation-exposed row
# below. The three requirements — an exact modelled species, a physically
# calibrated three-dimensional biomass field, and a characterised exposure
# — are satisfied pairwise only twice: 3-D without radiation (B. subtilis)
# and radiation without 3-D (C. neoformans, C. sphaerospermum, A. niger,
# S. oneidensis). A radiation-exposed 3-D biomass field for a target
# species must be ACQUIRED, not retrieved.
#
# This ledger is NOT a calibration. It populates no parameter:
# lattice_pitch_um, density_g_cm3, seconds_per_mcs,
# normalization.hamiltonian_scale, normalization.melanin_scale and every
# material composition are untouched by every row here, and no row may be
# read as implying one. It is also NOT a proof of absence: each
# "NO CANDIDATE FOUND" row is a search result on one date across a named
# set of repositories, sampled and not exhausted.
#
# PHENOTYPE FOLLOWS THE ENDPOINT MEASURED — never the title, never the
# organism's reputation, never an adjective in a strain description.
# Relabelling radioresistance as radiotrophy is a STOP CONDITION, not a
# judgement call. D. radiodurans carries none_demonstrated here because
# nothing catalogued here irradiated it; the label is not imported on
# reputation. UV, in any band, is not ionizing radiation for this project
# under any circumstances.
#
# growth_data is true ONLY where growth, biomass or a metabolic rate was
# measured. A survival or inactivation curve alone is false, and the notes
# say why — that distinction is the whole difference between radiotrophy
# and radioresistance.
#
# Includes INCOMPATIBLE candidates on purpose: a screening ledger that
# records only its survivors is not a screening record. An open-access
# article is not an available dataset, and a rendered confocal figure in a
# paper is not a raw 3D dataset; access_status describes the DATA, not the
# article.
#
# UNIQUENESS KEY: dataset_id
# Blank numeric cells mean NOT MEASURED. They are never read as zero.
# BOOLEAN cells are {true, false, unverified}. unverified is the honest
# value wherever a landing page did not say; a blank never means "no".
# Text cells use unverified (not stated anywhere consulted), not_measured
# (the quantity was never measured) and not_applicable (no such quantity
# exists for this record) — three distinct facts, never collapsed.
#
# STOP CONDITIONS HIT BY THIS PASS, recorded because the rejections are
# the evidence:
#   TARGETED_LAB_EXPERIMENT_REQUIRED — radiotrophy is earned by exactly one
#     record here (Dadachova 2007), against a same-species negative
#     melanin-pathway result at 1 and 3 kGy, a same-genus null growth
#     result under a TLD-anchored 137Cs field, an isogenic null in
#     A. niger across three ionizing modalities, and a formal energy-budget
#     critique. The discriminating experiment exists in no archive and
#     cannot be requested from anyone, because nobody has made it.
#   PUBLIC_DATA_CAN_VALIDATE_PIPELINE_ONLY — public exact-species
#     volumetric imaging exists for one of the seven, and nothing in it
#     calibrates a radiation term.
#   TARGET_WET_BULK_MEASUREMENT_REQUIRED — no source pairs a calibrated
#     hydrated volume with wet mass, dry mass and matched blanks, for any
#     organism, under one growth condition.
#   PUBLIC_COMPONENTS_FOUND_BUT_NOT_PAIRED — the components exist
#     separately and none is paired with another.
#   ISS FIELD IRRECONCILABLE — four inputs are needed and all four are
#     absent; supplying any of them would mean inventing it. The attempt
#     is itself the stop condition.
#   NO OpenMC PHOTON VALIDATION CANDIDATE — the two nearest records fail on
#     opposite axes: Bland 2022 has a photon field and no transport
#     measurement, Vasileiou 2020 has a transport measurement and no
#     photons.
#   UNSUPPORTED_BY_CURRENT_MODEL — radiotropism (Zhdanova 2004) is measured
#     as directed hyphal elongation on organisms whose CPM representation
#     is an isotropic biomass parcel with no elongation or connectivity
#     term. That is a model finding, not a data gap.
#
# SOURCE REGISTRY: every source_id here resolves in data/sources.csv.
# data/research/ sits outside the two calibration branches, whose
# registries are branch-local ON PURPOSE, so this ledger cites the root
# registry rather than data/calibration/spatial/sources.csv. Individual
# DOIs and accessions live in persistent_identifier, exactly as
# data/calibration/spatial/dataset_candidates.csv puts them in identifier.
#
# ACCESS NOTE: nine access controls were encountered during the audit and
# none was circumvented. Dryad fronts its download endpoints with Anubis, a
# proof-of-work anti-bot challenge; heiDATA's Anubis instance is
# user-agent dependent and a plain client returned HTTP 200, recorded as
# verified-but-UA-dependent. bioRxiv, ScienceDirect, Elsevier, ACS and OUP
# returned 403, Wiley returned 402, and PMC174092 is a scanned page image
# behind an HTML bot-wall. Every one is recorded as a value in
# access_status rather than as a missing row.
dataset_id,title,persistent_identifier,species,strain,candidate_class,phenotype_labels,radiation_modality,energy_or_spectrum,dose,dose_rate,exposure_duration,source_geometry,dosimetry_method,growth_conditions,raw_3d_images,time_series,physical_voxel_calibration,growth_data,dry_biomass_data,melanin_data,attenuation_data,biological_replicates,file_formats,total_size,license,access_status,model_contribution,source_id,status,notes
csphaerospermum_vember2015_beta_survival,Survival of Cladosporium sphaerospermum conidia and mycelial fragments under chronic beta irradiation,unverified,Cladosporium sphaerospermum,5-1; 60; 852; 3176,target_exact_radiation,radioresistant,beta,90Sr/90Y beta under 0.05 mm Al,10080 ber (as printed; not converted here),not_measured,to 14 d (D37 curves),90Sr/90Y source under a 0.05 mm Al absorber,unverified,unverified,false,true,false,false,false,false,false,unverified,PDF (Ukrainian),469611 B,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"RADIORESISTANT, NOT RADIOTROPHIC — elevated survival as a percentage of the unirradiated control, and NO GROWTH ENDPOINT OF ANY KIND. Relabelling this as radiotrophy is a stop condition. growth_data is false for exactly that reason. The dose is recorded in the obsolete unit the paper prints; converting it here would be deriving a number the audit did not verify. Beta, so not photon-compatible. Strain 3176's provenance in this primary text is what corroborates the species membership of the Zhdanova 2004 radiotropism result."
csphaerospermum_zhdanova2004_radiotropism,Ionizing radiation attracts soil fungi,unverified,Cladosporium sphaerospermum,3176,target_exact_radiation,radiotropic,gamma,109Cd,unverified,unverified,unverified,directional point source; gradient at the growth front not characterised,unverified,unverified,false,false,false,false,false,false,false,unverified,none (article only),not_applicable,unverified,inaccessible,model_revision_evidence,RADIOTROPHIC_AUDIT_2026,unsupported_by_current_model,"RADIOTROPIC — directional hyphal growth toward a source, quantified as a mean return angle below 90 degrees. It earns nothing else: no survival, no growth rate, no melanin — so growth_data is FALSE, a return angle being a direction and not a growth, biomass or metabolic quantity. dose, dose rate and dosimetry method read unverified rather than not_measured because the paper is unread, so whether they were measured is itself the open question. THE ONLY ARCHITECTURE LOCATED ANYWHERE that could in principle identify a directional term — a directional source, a spatial gradient, a quantified directional response, and a confirmed test on an exact modelled species. One blocker remains and it is the dose-gradient characterisation: whether the gradient at the growth front was measured or calculated is unknown, and the source geometry and activity are unstated. status is unsupported_by_current_model rather than blocked because even a perfect answer would not enter the model: a CPM cell ID is an isotropic biomass parcel with no elongation or connectivity term. Elsevier paywall (ScienceDirect, not Cambridge Core); do not scrape — request from the corresponding author."
aniger_cortesao2020_lethality,Aspergillus niger spores are highly resistant to space radiation,doi:10.3389/fmicb.2020.00560,Aspergillus niger,N402; MA93.1 (delta fwnA); MA78.6 (NHEJ),target_exact_radiation,radioresistant,x_ray;heavy_ion;uv_c,200 kV unfiltered bremsstrahlung (no filter; effective energy not stated); 150 MeV/n He LET 2.2; 500 MeV/n Fe LET 200; UV-C 254 nm,LD90 N402 366 Gy X-ray / 506 Gy He / 112 Gy Fe,not_measured,unverified,unverified,unverified,unverified,false,false,false,false,false,false,false,unverified,PDF (Data_Sheet_1),190728 B,CC BY 4.0,direct_download,model_revision_evidence,RADIOTROPHIC_AUDIT_2026,ready,"radiotrophic REFUSED: no growth, biomass or metabolic measurement was made UNDER irradiation. That is an absence of measurement, not a measured null. growth_data is false — LD90 by CFU is an inactivation endpoint. THE ISOGENIC PIGMENT NULL IS THE FINDING: MA93.1 (delta fwnA) gives 353 / 567 / 112 Gy against N402's 366 / 506 / 112, indistinguishable and with the helium pair running the WRONG WAY; verbatim, 'deficiency in pigmentation did not alter survivability after exposure to ionizing radiation (X-rays or cosmic radiation)'. What does carry resistance is DNA repair: the NHEJ mutant collapses to 57 / 55 / 50 Gy, a roughly sixfold drop (inference, labelled). This REFUTES two in-repo claims: preprint/modeling_radiotrophic_fitness.md:31 ('confers substantial radioprotection') and :178 (alpha_M = 0.03-0.10 ug/cell/Gy, for which no located measurement exists and whose per-cell basis the CPM entity semantics do not admit). The UV-C arm, where a ~2x pigment effect appears, is confounded by the NHEJ mutant dropping to 580 J/m2 with no pigment defect — and UV-C is not ionizing radiation for this project regardless; the same paper's crystal-violet biofilm arm runs the other way entirely (81% reduction for wild type against 97% for the pigment mutant). The X-ray arm cannot be pooled with the ion arms without a modality collapse, and its tube spectrum is uncharacterised."
aniger_jrr2024_gamma_germination,Germination and colony formation of Aspergillus niger after gamma irradiation,unverified,Aspergillus niger,NBRC 6342,target_exact_radiation,radiation_responsive,gamma,60Co 1.173 and 1.332 MeV,0.2-0.8 kGy,1.87 kGy/h,~6-26 min at the stated rate,unverified,unverified,unverified,false,true,false,true,false,false,false,unverified,supplement (subscription-gated),unverified,unverified,browser_manual,prior_only,RADIOTROPHIC_AUDIT_2026,blocked,"J Radiat Res 65(1):28-35. radioresistant REFUSED: survival fell monotonically and the framing is inactivation kinetics. What is measured is a DISSOCIATION — 69% germination against 5.5% colony formation at 0.4 kGy — plus OD600 every ~10 min and hourly time-lapse elongation, which is why growth_data and time_series are true. The germination/colony gap is a warning against any single scalar viability term. The supplement is subscription-gated: the kinetic series behind the figures was not retrieved."
aniger_frontiers2023_pyomelanin_uvc,Pyomelanin shielding of UV-C in Aspergillus niger,unverified,Aspergillus niger,unverified,incompatible,none_demonstrated,uv_c,UV-C 254 nm,1038 J/m2 incident,not_measured,unverified,pyomelanin in KOH solution,radiometry,not_applicable,false,false,false,false,false,true,true,unverified,none (article only),not_applicable,unverified,direct_download,none,RADIOTROPHIC_AUDIT_2026,not_applicable,"REJECTED ON MODALITY. 81.13 +/- 0.27 J/m2 transmitted at 1038 J/m2 incident is a real transmission measurement — and UV IS NOT IONIZING RADIATION FOR THIS PROJECT, under any circumstances. attenuation_data is true because the quantity was measured; the row is incompatible because the quantity cannot be pooled with photon attenuation or read as radiation_shielding. Retaining it as radiation evidence would let a UV result be read as radioresistance."
aniger_depositonce_18458_cell_wall,Cell-wall chitin and glucan across Aspergillus niger chitin-synthase strains,doi:10.14279/depositonce-18458,Aspergillus niger,MJK17.25 control plus 10 chitin-synthase strains,target_exact_material,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,submerged shake-flask mycelium (not biofilm),false,false,false,false,true,false,false,n=3 flasks per strain; 3 sub-samples each in photometric duplicate,CSV; text (10 files),46491 B,CC BY 4.0,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"THE ONE MACHINE-READABLE COMPOSITIONAL DEPOSIT FOR A MODELLED SPECIES, AND ITS TWO ASSAYS SIT ON TWO DIFFERENT MASS BASES UNDER ONE MISLEADING LABEL. Chitin was assayed from 4 mg (+/- 0.5) of CELL WALL EXTRACTED from ~50 mg freeze-dried biomass; glucan from 5 mg (+/- 0.5) of freeze-dried, ground WHOLE BIOMASS — confirmed by the deposit's own Sample weight [mg] rows (3.5-4.5 mg against 4.6-5.5 mg). So chitin is g/g cell wall and glucan is g/g dry mycelium. The plate files label both [mg/mg BM]; the two summary files name NO DENOMINATOR AT ALL, which is worse than an ambiguous one, and Chitin_CFW_assay.csv is calcofluor fluorescence in arbitrary units normalised to the control — a third basis. Control MJK17.25 reads 214.1198505 +/- 3.389406288 ug glucosamine/mg (flasks 215.388 / 209.483 / 217.489); across-strain range 156.64-352.13. A reagent blank is present and subtracted. Converting to a dry-cell basis needs the wall-to-cell dry mass ratio and converting to hydrated bulk needs w_water; NEITHER IS MEASURED in the deposit, the thesis or the peer-reviewed companion, and NO CONVERSION WAS PERFORMED. Cell wall is not dry cell is not hydrated bulk."
aniger_frontiers2022_clinostat_masses,Wet and dry masses of Aspergillus niger colonies under simulated microgravity,doi:10.3389/fmicb.2022.975763,Aspergillus niger,unverified,target_exact_material,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,clinostat and static controls,false,false,false,true,true,false,false,n=3 biological replicates,none deposited (raw data author-request),not_applicable,unverified,author_request,protocol_only,RADIOTROPHIC_AUDIT_2026,blocked,"THE CLOSEST ANY PUBLIC SOURCE COMES TO A WATER MASS FRACTION FOR A MODELLED SPECIES, AND IT FAILS ON THE BLANK. Verbatim: 'each colony-carrying filter, of each biological replicate (n = 3), was recovered and placed inside a pre-weighted aluminum paper. The weight of the aluminum with a colony was measured before (wet weight = ww) and after desiccation (dry weight = dw) for 24 h at 60 C.' The weighed object is aluminium plus filter plus colony, so deriving w_water needs the aluminium tare AND the filter's own retained water — a stronger obstruction than a single missing blank. No hydrated volume was measured; mycelium thickness of 59 +/- 1 um is a thickness, not a volume. No surface-water removal protocol is documented. Author contact #2 wants the per-replicate masses, the tare, and a matched abiotic filter blank under the same protocol: w_water needs no volume, only masses and a blank. It would still not yield a density."
bsubtilis_biostudies_sbiad474,Colony biofilm volumetric imaging of Bacillus subtilis wild type and matrix mutants,S-BIAD474,Bacillus subtilis,wild type plus six matrix mutants,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,colony biofilm; 48 h and 72 h,true,true,true,false,false,false,false,one acquisition per timepoint for the 100% GFP volumetric condition,Leica .lif (50 files),~1 TB total; Fig 7 volumetric files 1.8-4.3 GB,none_stated,direct_download,pipeline_validation,RADIOTROPHIC_AUDIT_2026,provisional,"EXACT SPECIES AND GENUINELY VOLUMETRIC, AND STILL PIPELINE-ONLY. Its only channels are constitutive cytoplasmic GFP and mKate2 — no matrix stain, no membrane dye, no general biomass stain anywhere in the study — so its segmentation_basis is cells_only, which HydratedVolume.require_whole_biofilm() refuses outright: the volume excludes the matrix and the interstitial water that a balance would weigh. The 100% GFP volumetric condition is ONE acquisition at 48 h and ONE at 72 h, so it cannot satisfy the held-out rule on its own. z-step 3.87 um against a lateral 0.869 um is a 4.45:1 anisotropy that floors any pitch derived from it. NO RADIATION was applied here or anywhere else for B. subtilis in this audit."
bsubtilis_heidata_kh6ndd_sxt,Soft X-ray tomograms of label-free hydrated Bacillus subtilis,doi:10.11588/data/KH6NDD,Bacillus subtilis,unverified,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"530 eV imaging beam (a structural probe, not an exposure)",hydrated; 23 biofilm files and 8 suspension files at t=0,true,unverified,false,false,false,false,false,31 tomograms; 92 projections each,ImageJ TIFF (31 files),13799884261 B,CC BY 4.0,direct_download,pipeline_validation,RADIOTROPHIC_AUDIT_2026,provisional,"THE ONE DATASET IN THE AUDIT THAT MEASURES A BIOMASS VOLUME FRACTION THE WAY THE OCCUPANCY MAPPING NEEDS — label-free and hydrated, so no stain defines the envelope. physical_voxel_calibration is FALSE and this is the blocker: the deposited TIFF headers carry unit=micron with spacing=2.105e-07, which is 0.21 picometre, and the article's field of view is a per-acquisition RANGE of 15-17 um, so the voxel size cannot be recovered even by arithmetic. No length derived from these files is usable until the authors confirm it. Eight of the 31 files are cells in suspension at t = 0, not biofilm. The 530 eV beam is the imaging probe and must never be recorded as a radiation exposure. ACCESS: Anubis v1.26.2, user-agent dependent — a plain curl UA returned HTTP 200 with restricted:false while a markdown-fetching client was challenged; no challenge was defeated."
bsubtilis_biostudies_sbsst261,Confocal imaging of Bacillus subtilis biofilm edges,S-BSST261,Bacillus subtilis,unverified,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,biofilm edges at 24 h and 5 d,true,true,unverified,false,false,false,false,unverified,Leica .lif (5 files),18529647313 B,none_stated,direct_download,pipeline_validation,RADIOTROPHIC_AUDIT_2026,provisional,"Exact species, manifested and open, and imaging EDGES rather than intact colonies — whether any file provides a whole-biofilm envelope must be checked at file level before it is treated as a pitch dataset. No licence is stated in the record, which is a value, not an omission."
bsubtilis_dryad_f4qrfj71n,Data for: Extensive cellular multi-tasking within Bacillus subtilis biofilms,doi:10.5061/dryad.f4qrfj71n,Bacillus subtilis,dual transcriptional reporter strains,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,20 um cryosections; 48 h,unverified,false,unverified,false,false,false,false,unverified,.7z archives (4) plus 5 zips,49717304106 B (current version),CC0-1.0,browser_manual,pipeline_validation,RADIOTROPHIC_AUDIT_2026,provisional,"Same candidate as spatial/dataset_candidates.csv row bsubtilis_dryad_f4qrfj71n; the id is deliberately identical so the two ledgers do not fork a vocabulary. THE CUMULATIVE-SIZE TRAP IS LIVE HERE: Dryad's storageSize reports 215,767,147,677 B against a current-version total of 49,717,304,106 B, a factor of 4.34. The manifest sum is the download budget. These are PREPARED 20 um CRYOSECTIONS, not intact volumes, so whether any archive yields an intact calibrated 3D biovolume is unverified. Dryad's download endpoints are fronted by Anubis; the data is CC0 and downloads normally in a browser, and the per-file SHA-256 digests from the API let a manual copy be verified byte-for-byte."
bsubtilis_zenodo_3544513_sigmab,Confocal microscopy of sigma-B pulsing in Bacillus subtilis,doi:10.5281/zenodo.3544513,Bacillus subtilis,unverified,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unverified,unverified,true,unverified,false,false,false,false,unverified,unverified,2454298484 B,unverified,direct_download,pipeline_validation,RADIOTROPHIC_AUDIT_2026,provisional,"The record says only 'data extracted from confocal microscopy', which is not a claim of raw calibrated stacks — raw_3d_images stays unverified rather than being transcribed as true. A pulsing time course is temporally interesting and says nothing about whether a biomass field can be built from it."
bsubtilis_biostudies_sbsst676,Colony biofilm images of Bacillus subtilis obtained using a stereo microscope,S-BSST676,Bacillus subtilis,unverified,incompatible,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,24/48/72 h,false,true,false,false,false,false,false,3 declared (first/second/third biological replicate),image files,~48 GB,unverified,direct_download,protocol_only,RADIOTROPHIC_AUDIT_2026,not_applicable,"REJECTED ON REPRESENTATIONAL GROUNDS, and painfully: the record's own file descriptions read 'Colony biofilm images obtained using stereo microscope' — MACRO-SCALE PHOTOGRAPHS, NOT Z-STACKS. It is nonetheless the only exact-species deposit in the audit with explicitly labelled first/second/third biological replicates, so retain the citation as a PRECEDENT FOR HOW REPLICATE STRUCTURE SHOULD BE DECLARED in the acquisition contract."
bsubtilis_biostudies_sbsst577,Macro time-lapse movies of Bacillus subtilis colony biofilms,S-BSST577,Bacillus subtilis,unverified,incompatible,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unverified,false,true,false,false,false,false,false,unverified,TIFF movies (4),377886841 B each,unverified,direct_download,none,RADIOTROPHIC_AUDIT_2026,not_applicable,"REJECTED ON REPRESENTATIONAL GROUNDS. Four TIFF movies at exactly 377,886,841 B each — single-plane 2x macro time-lapse. A biomass field is 3-D by contract, so single-plane data cannot enter the harness at all, however good the time axis is."
soneidensis_geo_gse3876_qiu2006,Transcriptome and survival of Shewanella oneidensis MR-1 after gamma irradiation,GSE3876,Shewanella oneidensis,MR-1,target_exact_radiation,radiation_responsive,gamma,60Co 1.173 and 1.332 MeV,40 Gy (D20 in Davis); D10 ~70 Gy in TGY,109 Gy/min,~22 s at the stated rate; 1 h recovery sampled,unverified,not_measured,irradiated on ice; Davis and TGY media,false,true,false,false,false,false,false,unverified,GEO supplementary,unverified,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,ready,"170 induced and 87 repressed genes over 1 h of recovery. radioresistant IS AFFIRMATIVELY DISCONFIRMED HERE, verbatim: 'about 20 times less than that of Escherichia coli and about 200 times less than that of Deinococcus radiodurans'. This is the only place in the audit where a phenotype is refused by a positive measurement rather than by absence, and it agrees with the model's own inline description of S. oneidensis as radiosensitive. growth_data is false: D10/D20 are inactivation endpoints."
soneidensis_brown2015_xray_metal_reduction,Effects of ionizing radiation on Shewanella oneidensis MR-1 physiology and metal reduction,doi:10.1371/journal.pone.0131249,Shewanella oneidensis,MR-1,target_exact_radiation,radiation_responsive,x_ray,Faxitron CP-160; 160 kV; 6 mA; tungsten target; bremsstrahlung with no stated effective energy or HVL,50 Gy; 95 Gy; D10 ~84 Gy; D20 ~57 Gy,0.79 Gy/min,unverified,cabinet irradiator,Fricke chemical dosimetry,exogenous riboflavin as an electron shuttle in the reduction arm,false,true,false,true,false,false,false,unverified,none deposited (article only),not_applicable,CC BY,direct_download,model_revision_evidence,RADIOTROPHIC_AUDIT_2026,ready,"radiotrophic REFUSED despite an increase in an activity readout: total biomass yield was UNCHANGED, lag was EXTENDED to ~7.5 h at 95 Gy, viability was a small fraction of control, and the effect required exogenous riboflavin. THE LOAD-BEARING RESULT FOR THE MATERIAL BRANCH: Fe(III) reduction MORE THAN DOUBLED at 50 Gy in a population whose viable count had collapsed. Reducing activity is therefore DECOUPLED from viable cell count, and a fortiori from taxonomic abundance and from CPM site occupancy — direct empirical support for the refusal in active_from_taxonomic(), and evidence against the model's hard-coded default X_red = 0.3 labelled '(Shewanella proxy)'. f_red,dry itself was not found for this or any biofilm system; nothing located even attempts the measurement. Fricke dosimetry makes this the best-characterised dose chain in the audit, and the tube spectrum is still unstated."
shewanella_dryad_8sc52,Data from: In situ analysis of a silver nanoparticle-precipitating Shewanella biofilm,doi:10.5061/dryad.8sc52,Shewanella oneidensis,MR-1,target_exact_biofilm,none_demonstrated,none,532 nm Raman probe (not an exposure),not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,biofilm at 6/9/35 d,false,true,true,false,false,false,false,unverified,ASCII hyperspectral exports (7 files),5141559882 B (manifest sum),unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,ready,"Same candidate as spatial/dataset_candidates.csv row shewanella_dryad_8sc52; id held identical on purpose. raw_3d_images is FALSE and the audit settled why: THE THIRD ARRAY AXIS IS SPECTRAL, NOT SPATIAL — each ASCII export is exactly 1600 x 63,001, verified by line-length arithmetic on a 2 MB range read, and the filenames carry the token z0. Lateral calibration is 0.5 um/px. TWO SIZE FACTS THAT DISAGREE: the manifest sums to 5,141,559,882 B while Dryad's storageSize reports 5,141,603,486 B, a 43,604 B discrepancy that is UNRECONCILED; the spatial ledger's 5142000000 with size_basis=current_version is a rounded storageSize and should be corrected to the manifest sum. Dryad is browser_manual, but Zenodo record 4944335 serves BYTE-IDENTICAL files verified by MD5 against the Dryad API, so the data itself is direct_download from a legitimate second host. That row's rationale cell in the spatial ledger terminates mid-sentence at 'Do not use it to select a.'"
soneidensis_dryad_p8cz8w9rw_magnetite,Magnetometry and diffraction of magnetite before and after reduction by Shewanella oneidensis MR-1,doi:10.5061/dryad.p8cz8w9rw,Shewanella oneidensis,MR-1,target_near,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unverified,false,false,false,false,false,false,false,unverified,CSV (5 files),768305 B (current version),unverified,browser_manual,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"ZFC/FC magnetometry, XRD and FTIR of a mineral phase, not of biomass — retained only as evidence of what metal transformation by the exact species looks like as data. SIZE TRAP AGAIN: storageSize reports 835,554 B against a current version (4) of 768,305 B over 5 CSVs."
shewanella_zenodo_pedot,S. oneidensis MR-1 on functionalised PEDOT:PSS surfaces,doi:10.5281/zenodo.14994137,Shewanella oneidensis,MR-1,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,PEDOT:PSS electrodes; LIVE/DEAD staining,false,false,true,false,false,false,false,unverified,Olympus .oir; .ims; renders; spreadsheets,64402398 B,CC BY 4.0,direct_download,none,RADIOTROPHIC_AUDIT_2026,not_applicable,"SINGLE PLANE, VERIFIED FROM THE FILE HEADERS AND NOT INFERRED: every .oir reports <BaseDimension>1024 1024 1 2 1</BaseDimension> and <ImplExtendMax>212.132 212.132 0.000</ImplExtendMax> — Z = 1 and a z extent of 0.000 um. Lateral calibration is 0.2072 um/px, which is why physical_voxel_calibration is true while raw_3d_images is false. THIS SUPERSEDES the inspect_first verdict on row shewanella_zenodo_pedot in spatial/dataset_candidates.csv: the metadata inspection was performed and it came back negative."
soneidensis_aem2017_flowcell_clsm,Confocal analysis of Shewanella oneidensis biofilms on polarised electrodes in flow cells,unverified,Shewanella oneidensis,unverified,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,flow cell; electrode poised at +0.4 V,false,unverified,unverified,false,false,false,false,unverified,none deposited,not_applicable,unverified,metadata_only,protocol_only,RADIOTROPHIC_AUDIT_2026,blocked,"THE BEST METHOD PRECEDENT IN THE AUDIT AND ZERO CALIBRATABLE NUMBERS. It has CLSM z-stacks with x-z reslicing, thickness ~10 um at +0.4 V, cells and EPS stained SEPARATELY (AFP for cells, ConA-Alexa 594 for EPS) — which is exactly the staining design the volume-basis rule needs — and an areal cell density of 40 +/- 2.2 cells per 100 um2 at ~10 um from the electrode. But protein and EPS are relative comparisons in figures rather than absolute masses with matched blanks, thickness at five random points is not a whole_biofilm_envelope volume, there is no water content, and THE RAW STACKS ARE NOT DEPOSITED. Cite it for the protocol, not for a number."
soneidensis_frontiers_electrospun_dry_weight,Shewanella oneidensis biofilms on electrospun nanofibre anodes,unverified,Shewanella oneidensis,unverified,incompatible,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,electrospun nanofibre mat anodes,false,false,false,false,false,false,false,unverified,none deposited,not_applicable,unverified,metadata_only,none,RADIOTROPHIC_AUDIT_2026,not_applicable,"REJECTED ON BASIS — A DERIVED QUANTITY WEARING A GRAVIMETRIC LABEL. Verbatim: 'The dry weight equivalent of the biofilms attached to the anodes was quantified by analysis of the protein content of cell lysate.' That is a colorimetric protein reading multiplied by an undeclared protein-to-dry-mass factor, reported per whole electrode with no area normalisation, on a porous mat whose biofilm reportedly fills ~8% of pore space. dry_biomass_data is FALSE: a dry weight equivalent is not a dry weight. No CLSM, no thickness, no water content, no wet mass."
ointermedium_am7_genbank_mk268754,Ochrobactrum intermedium AM7 partial 16S ribosomal RNA gene,MK268754.2,Ochrobactrum intermedium (Brucella intermedia),AM7,target_near,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,isolation_source: soil around Kakrapar Atomic Power Station; country India: Surat,false,false,false,false,false,false,false,not_applicable,GenBank flat file,1086 bp,unverified,direct_download,none,RADIOTROPHIC_AUDIT_2026,blocked,"THE ENTIRE PUBLIC FOOTPRINT OF THIS STRAIN IS 1086 BASE PAIRS AND ONE PAYWALLED ABSTRACT. Zero genomes, BioSamples, SRA runs, proteomes, transcriptomes, images or deposited datasets; no culture-collection accession was located, so whether the strain is obtainable at all is UNVERIFIED — and an unobtainable strain is a campaign-design problem, not a data problem. AN ISOLATION SOURCE IS NOT AN EXPOSURE: the only radiation connection this strain has is the soil it came from. TAXONOMY, RECORDED AND NOT COLLAPSED: NCBI taxid 94625 is now served as Brucella intermedia in the Brucella/Ochrobactrum group with Ochrobactrum intermedium retained as a synonym, and the reclassification is actively contested (10.1128/jcm.00438-23). Both names must travel together, as the Wangiella/Exophiala mapping does. This audit assigns NO RISK GROUP — that determination belongs to the institutional biosafety committee and must precede culturing — but it records that the containment driver named in data/calibration/baseline_condition.csv may not be C. neoformans."
