name,country,country_long,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013
Calvert Cliffs,USA,United States of America,1735,38.4300,-76.4400,Nuclear,1975,Exelon,0
Limerick,USA,United States of America,2268,40.2300,-75.5900,Nuclear,1986,Exelon,0
Peach Bottom,USA,United States of America,2268,39.7600,-76.2100,Nuclear,1974,Exelon,0
Susquehanna,USA,United States of America,2529,41.0900,-76.1500,Nuclear,1983,Talen,0
Nine Mile Point,USA,United States of America,1907,43.5200,-76.4100,Nuclear,1969,Exelon,0
Fitzpatrick,USA,United States of America,852,43.5300,-76.4000,Nuclear,1975,Exelon,0
Ginna,USA,United States of America,582,43.2800,-77.3100,Nuclear,1970,Exelon,0
Indian Point,USA,United States of America,2050,41.2700,-73.9500,Nuclear,1974,Entergy,0
Oyster Creek,USA,United States of America,636,39.8100,-74.2000,Nuclear,1969,Exelon,0
Hope Creek,USA,United States of America,1172,39.4600,-75.5400,Nuclear,1986,PSEG,0
Salem,USA,United States of America,2268,39.4600,-75.5400,Nuclear,1977,PSEG,0
Beaver Valley,USA,United States of America,1816,40.6200,-80.4300,Nuclear,1976,FirstEnergy,0
Perry,USA,United States of America,1240,41.8000,-81.1400,Nuclear,1987,FirstEnergy,0
Davis-Besse,USA,United States of America,894,41.6000,-83.0900,Nuclear,1978,FirstEnergy,0
Fermi,USA,United States of America,1134,41.9600,-83.2600,Nuclear,1988,DTE,0
Palisades,USA,United States of America,805,42.3200,-86.3100,Nuclear,1971,Entergy,0
Cook,USA,United States of America,2300,41.9700,-86.5600,Nuclear,1975,Indiana Michigan,0
Dresden,USA,United States of America,1800,41.3900,-88.2700,Nuclear,1970,Exelon,0
LaSalle,USA,United States of America,2300,41.2500,-88.6800,Nuclear,1984,Exelon,0
Braidwood,USA,United States of America,2300,41.2400,-88.2300,Nuclear,1988,Exelon,0
Byron,USA,United States of America,2300,42.0700,-89.2800,Nuclear,1985,Exelon,0
Clinton,USA,United States of America,1065,40.1700,-88.8400,Nuclear,1987,Exelon,0
Quad Cities,USA,United States of America,1800,41.7200,-90.3200,Nuclear,1973,Exelon,0
Duane Arnold,USA,United States of America,601,42.1000,-91.7800,Nuclear,1975,NextEra,0
Monticello,USA,United States of America,671,45.3300,-93.6200,Nuclear,1971,Xcel,0
Prairie Island,USA,United States of America,1100,44.6200,-92.6300,Nuclear,1973,Xcel,0
Point Beach,USA,United States of America,1020,44.2800,-87.5400,Nuclear,1970,NextEra,0
Kewaunee,USA,United States of America,556,44.3400,-87.5400,Nuclear,1974,Dominion,0
Columbia,USA,United States of America,1100,46.4700,-119.3300,Nuclear,1984,Energy Northwest,0
Grand Gulf,USA,United States of America,1400,33.0600,-91.0400,Nuclear,1985,Entergy,0
River Bend,USA,United States of America,974,30.7500,-91.3300,Nuclear,1986,Entergy,0
Waterford,USA,United States of America,1168,29.9900,-90.4700,Nuclear,1985,Entergy,0
Turkey Point,USA,United States of America,1390,25.4400,-80.3300,Nuclear,1972,FPL,0
St. Lucie,USA,United States of America,1670,27.3500,-80.2500,Nuclear,1976,FPL,0
Crystal River,USA,United States of America,860,28.9500,-82.7000,Nuclear,1977,Duke,0
Brunswick,USA,United States of America,1870,33.9600,-78.0100,Nuclear,1977,Duke,0
Shearon Harris,USA,United States of America,900,35.6300,-78.9500,Nuclear,1987,Duke,0
McGuire,USA,United States of America,2258,35.4400,-80.9500,Nuclear,1981,Duke,0
Catawba,USA,United States of America,2258,35.0500,-81.0700,Nuclear,1985,Duke,0
Oconee,USA,United States of America,2538,34.8000,-82.9000,Nuclear,1973,Duke,0
H.B. Robinson,USA,United States of America,700,34.4000,-80.1600,Nuclear,1971,Duke,0
Summer,USA,United States of America,1000,34.3000,-81.2000,Nuclear,1984,SCE&G,0
North Anna,USA,United States of America,1940,38.0600,-77.7900,Nuclear,1978,Dominion,0
Surry,USA,United States of America,1600,37.1600,-76.7000,Nuclear,1972,Dominion,0
Pilgrim,USA,United States of America,685,41.9500,-70.5800,Nuclear,1972,Entergy,0
Vermont Yankee,USA,United States of America,620,42.7800,-72.5100,Nuclear,1972,Entergy,0
Yankee Rowe,USA,United States of America,180,42.7000,-72.9200,Nuclear,1961,Yankee Atomic,0
Big Rock Point,USA,United States of America,67,45.3600,-84.8100,Nuclear,1962,Consumers Energy,0
Rancho Seco,USA,United States of America,913,38.3500,-121.1200,Nuclear,1975,Sacramento Municipal,0
Trojan,USA,United States of America,1130,46.0400,-122.8800,Nuclear,1976,Portland General,0
Humboldt Bay,USA,United States of America,65,40.7400,-124.2100,Nuclear,1963,PG&E,0
Zion,USA,United States of America,1040,42.4500,-87.8300,Nuclear,1973,Exelon,0
Fort Calhoun,USA,United States of America,478,41.5200,-95.9200,Nuclear,1973,OPPD,0
Cooper,USA,United States of America,801,40.3600,-95.6400,Nuclear,1974,NPPD,0
Wolf Creek,USA,United States of America,1160,38.2400,-95.7000,Nuclear,1985,Wolf Creek Nuclear,0
Callaway,USA,United States of America,1190,38.7600,-91.7800,Nuclear,1984,Ameren,0
Arkansas One,USA,United States of America,1671,35.3100,-93.2300,Nuclear,1974,Entergy,0
Palo Verde,USA,United States of America,3937,33.3900,-112.8600,Nuclear,1986,APS,0
